Type	File	Stars	L1	S1	L2	S2	L3	S3	L4	S4	L5	S5
ironic	50_18_R123TZMYW3ACMP	5	both	three			ironic	five	both	four	both	four
regular	2_19_R3GSTGD9AML4Y1	5	regular	five	regular	five	regular	five	regular	five	regular	five
ironic	18_15_R1NCQRCQI09CNH	1	both	one	ironic	one	sarcastic	one	sarcastic	one	sarcastic	two
regular	46_10_R2AVAXB69ZLL69	4	regular	four	regular	four	regular	five	regular	three	regular	four
regular	7_17_R1HF3F2IZ3JATX	5	regular	five	regular	five	both	three	regular	four	regular	four
regular	10_11_R39E2L0925XWH1	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	29_12_R145EIWBYIT1HZ	5	regular	four	regular	four	regular	four	regular	five	regular	three
regular	40_12_RMQFNCXZ9XJFX	5	regular	four	sarcastic	four	regular	four	regular	four	regular	five
regular	15_17_R33AU15X4OIMSO	5	regular	five	regular	three	regular	four	regular	five	regular	five
regular	11_1_R9Y6JHPIBYSSG	5	regular	four	regular	five	regular	four	regular	five	regular	five
regular	26_11_R2PJCVB3FPT2V8	4	regular	four	regular	four	regular	four	regular	four	regular	three
regular	17_2_R3UI4J24642333	5	regular	five	sarcastic	two	regular	five	regular	five	regular	five
regular	32_1_R24NLQQ739CN43	5	regular	four	ironic	four	regular	four	regular	four	regular	four
regular	29_5_RP858A5MPFTWR	5	regular	five	regular	five	regular	four	both	four	regular	five
regular	25_2_R3LX5BDXTKRHV9	1	regular	four	both	one	regular	one	regular	one	regular	one
ironic	40_18_R2TUIUEI90X8AY	1	both	two	both	three	both	one	both	two	both	one
ironic	44_5_R2WU0E5QFJ73TO	3	both	one	both	three	ironic	three	sarcastic	three	regular	three
ironic	20_12_R2GLNH1U43940X	2	regular	one	regular	two	sarcastic	one	sarcastic	one	both	two
regular	13_7_R2MEMCSO59A498	5	regular	five	regular	five	regular	five	sarcastic	four	regular	five
regular	26_5_R1PSXGZWXPGQ90	5	regular	five	regular	five	regular	five	regular	four	regular	five
ironic	47_3_RL3H8QC95ZTPD	5	both	one	sarcastic	four	both	three	sarcastic	one	sarcastic	four
regular	24_14_RX6D1UUM8IB6V	5	both	five	regular	five	regular	four	regular	four	regular	five
regular	27_12_R22BKSS914M4OD	3	regular	two	regular	three	regular	three	regular	three	sarcastic	three
ironic	21_7_R2DBF6RDIYXZDS	1	sarcastic	one	regular	one	regular	one	both	one	both	one
regular	2_7_R10L0PTEAY9OR9	5	regular	four	regular	four	regular	four	regular	five	regular	five
regular	3_20_R2ORU8UJVT2WI9	3	regular	four	regular	three	regular	four	regular	three	regular	three
ironic	46_16_R3440GDB9EIBYW	1	regular	one	both	one	sarcastic	one	both	one	regular	one
ironic	16_4_R2Z5QF7Y4LHPEO	1	sarcastic	one	both	one	both	two	regular	three	sarcastic	one
ironic	43_2_R26KB6MZVFQYJB	5	regular	four	both	one	ironic	two	both	one	ironic	five
ironic	32_10_R1IVJFR92AIGOS	1	regular	one	both	two	sarcastic	one	sarcastic	two	both	one
regular	6_10_R70SX3C3GZ7UV	4	regular	four			regular	three	regular	four	regular	five
regular	43_5_R1QXA1Q635J8T2	5	regular	five	regular	five	regular	five	regular	four	regular	five
ironic	3_8_R11I6ELOKARQLO	1	regular	one	regular	one	both	one	sarcastic	one	sarcastic	one
ironic	276426_6_R1UC05T0AVT9C0	1	sarcastic	one	both	two	sarcastic	two	sarcastic	two	regular	two
regular	26_10_RA6BD0BYYACHM	5	regular	five	regular	five	regular	five	regular	four	regular	three
regular	24_5_RYHEHPZQFGDJL	5	regular	five	ironic	three	regular	five	regular	five	both	two
ironic	1_8_R2NPWZHBGDS9ZB	1	regular	one	both	two	ironic	five	both	one	sarcastic	one
ironic	34_5_R34QJNZJDT6KGA	1	regular	one	both	one	sarcastic	one	regular	one	ironic	three
ironic	7_10_R1OBNLR6A0ATR2	1	both	one	sarcastic	one	sarcastic	four	ironic	two	sarcastic	one
ironic	43_15_R2YUYL4MJRASKV	1	sarcastic	one	both	one	both	one	both	three	regular	two
regular	17_18_R1HR9M0SMXE9WA	5	regular	four	sarcastic	three	regular	three	sarcastic	three	regular	three
regular	35_14_RBBU3AEO09AQN	5	regular	four	regular	five	regular	five	regular	five	regular	five
regular	42_12_RSPR3MICMDLFB	5	regular	four	regular	five	regular	four	regular	three	regular	four
regular	47_11_R1NXRDDF2A9WBK	4	regular	three	ironic	three	regular	three	regular	three	regular	four
ironic	37_15_RNWJYJMJXTXO2	1	sarcastic	one	regular	one	both	one	both	one	both	one
ironic	44_2_R346THH403TN26	5	ironic	three	sarcastic	two	sarcastic	four	both	two	sarcastic	four
regular	14_11_R2P9EFS79FSZCP	3	regular	two	regular	one	regular	three	regular	two	regular	two
regular	37_14_R2TZMC9550N8P6	5	regular	three	regular	two	regular	three	regular	two	regular	five
regular	14_14_R2BY0E5HBRBMXX	5	regular	five	regular	five	regular	five	regular	five	regular	five
ironic	24_7_R1JNJNE2SQC5YJ	5	both	five	both	four	regular	five	regular	five	both	three
regular	3_1_R19SAW11Q7EXEY	5	sarcastic	three	regular	four	regular	three	regular	four	regular	five
ironic	16_7_R3A5H7G3IHZVO0	3	regular	two	both	three	regular	three	ironic	two	ironic	two
regular	3_9_R3GQYTPESJ75FX	4	regular	three	sarcastic	four	regular	four	regular	four	regular	four
regular	29_15_R5FRO0OCANCQZ	5	regular	five	regular	five	regular	three	regular	five		
regular	19_7_RA8D63UIU826V	5	regular	five	regular	four	regular	five	regular	four	regular	five
ironic	25_19_R35DRT9CR9I02	1	sarcastic	one	sarcastic	three	both	one	sarcastic	one	regular	one
ironic	10_18_R30TK050962DZV	1	regular	four	regular	two	both	two	both	one		
regular	25_11_R56GPRIKRCW7H	5	regular	four	regular	four	both	three	regular	three	regular	four
ironic	19_16_R2WBRBGO5BGFDB	3	both	one	both	three	sarcastic	four	both	three	ironic	four
ironic	49_15_RHVDOF8FL92KM	1	regular	one	regular	four	sarcastic	one	sarcastic	one	ironic	one
regular	7_5_R2D7WSEYZTI5NH	5	regular	four	regular	four	regular	four	regular	five	regular	two
regular	47_4_R21PXQGNMXO32D	5	regular	five	both	two	regular	four	regular	five	sarcastic	two
regular	15_8_R23TOL34VC2JU7	5	regular	five	regular	five	regular	five	regular	five	regular	four
regular	276427_5_RLZYZKBJI82X0	5	regular	five	regular	four	regular	five	regular	four	regular	five
regular	28_13_R3O2B4Q9CUTE8J	5	regular	four	regular	five	regular	four	regular	five	sarcastic	two
regular	276423_6_R3HES3RAGMLGK	5	regular	four	regular	four	regular	five	regular	four	regular	five
ironic	31_15_R1VFVF6B8XUB40	1	both	two	sarcastic	one	sarcastic	one	both	one	both	one
regular	18_11_R210JL87BSOED6	5	ironic	five	regular	four	regular	five	regular	five	regular	four
regular	276425_11_R2JWE8LYSNQA2U	5	regular	four	regular	three	regular	five	regular	three	ironic	three
regular	5_15_R37Y7DE9BNSYZ3	5	regular	five	regular	four	regular	four	regular	four	regular	three
regular	50_3_R1JX83CAAYPFZK	5	regular	four	regular	four	regular	four	regular	three	regular	four
regular	33_15_R1SOV8120H0XSS	5	regular	four	regular	four	regular	five	regular	four	regular	four
regular	16_16_ROD7DNPFJ3NJ7	5	regular	five	regular	one	regular	five	ironic	four	regular	five
regular	1_1_R32P7K128XCLJV	3	regular	two	regular	three	regular	two	regular	two	sarcastic	three
regular	26_1_R5I5PIC436TAZ	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	49_5_RFHF2OUA0SCKE	5	regular	five	ironic	two	ironic	five	regular	five	regular	three
regular	1_11_R2CPP1CS7SIA4A	5	regular	four	regular	five	regular	three	regular	five	regular	five
ironic	10_6_R222OQ5HMG8IW6	1	regular	two	both	two	both	one	sarcastic	three	regular	one
regular	20_8_RJS4C378L3XLD	5	regular	four	regular	four	regular	four	regular	four	regular	four
ironic	18_11_R1SC2TMO8D5VGV	1	sarcastic	one	both	two	sarcastic	two	sarcastic	one	regular	one
regular	39_1_R3METPXK6OG0V	5	regular	five	regular	four	regular	five	ironic	three	regular	five
regular	22_5_RRNJ2C31OG3N7	5	regular	five	regular	four	regular	four	regular	four	regular	five
regular	13_4_R2TTHLARK5XBCJ	5	regular	five	regular	four	regular	four	regular	four	regular	four
regular	18_1_R1I9I1ORSIBEUF	5	regular	four	regular	three	regular	four	ironic	five	regular	three
regular	16_3_RZYHUEM3T7Q0Y	5	both	four	regular	four	regular	one	regular	five	regular	five
regular	51_17_R2V33BCK8Q38EH	5	regular	five	regular	five	regular	five	regular	five	sarcastic	two
regular	29_16_R39A7OQ1PHE1F1	1	sarcastic	one	regular	one	regular	one	regular	one	regular	one
regular	28_7_R1R01X8S1A1ZUZ	4	regular	four	regular	three	regular	four	regular	four	ironic	four
regular	8_6_R346D0GAP9DDYM	5	regular	five	ironic	three	regular	five	regular	five	regular	five
ironic	36_9_R1K51UN9PAUF7E	1	sarcastic	one	sarcastic	two	regular	three	regular	two	sarcastic	two
ironic	46_18_R3VSDIWI5QI269	4	ironic	five	regular	four			sarcastic	five	sarcastic	five
regular	46_1_R1PNT1AV9UK4MI	5	regular	three	regular	four	regular	five	regular	five	sarcastic	three
ironic	40_9_R3U6TV48RL631Q	5	sarcastic	five	both	five	ironic	one	both	four	regular	five
regular	29_2_R140EKI6DDIUU5	5	ironic	five	regular	four	regular	four	regular	five	regular	five
regular	25_5_RNKLM8UM29592	5	regular	five	regular	four	sarcastic	three	regular	four	sarcastic	four
regular	276426_10_R15XCKLDGHHUC1	5	regular	five	regular	five	regular	five	regular	five	regular	five
ironic	42_1_R2HXVIKJY27SHC	5	regular	five	both	five	regular	three	sarcastic	three	ironic	five
regular	37_18_RIHE448D0DSU2	1	sarcastic	two	regular	two	regular	two	regular	one	sarcastic	three
ironic	18_2_R1ENBGAF006HGL	5	regular	four	both	three	ironic	five	sarcastic	three	both	three
ironic	276425_4_R1OOJU7JJJKJN0	3	ironic	one	sarcastic	two	regular	three	regular	two	sarcastic	two
ironic	31_4_R1LWA1AXUZGOXP	3	both	three	regular	five	ironic	three	both	one	both	three
ironic	47_13_R1NU5CFPVNSXA4	1	regular	three	regular	two	both	one	both	three	sarcastic	two
regular	28_17_R2J75JSK189CN4	4	regular	four	regular	four	regular	four	regular	four	regular	four
regular	41_9_R1KXV9GBYEB2YN	5	regular	five	regular	five	ironic	five	regular	five	regular	five
regular	50_9_R3LSHDZJLETRCK	5	ironic	five	regular	five	regular	five	regular	five	regular	five
regular	24_7_R2M0DU8KPKRYNP	5	regular	five	regular	five	regular	four	regular	three	regular	three
regular	36_16_R1F6NH926C1T6O	5	regular	five	both	three	regular	four	regular	four	regular	five
regular	40_13_R2BLXW2T9CKC8J	5	regular	five	regular	two	regular	five	regular	five	ironic	five
regular	51_2_R1I1F53KVOIDEK	4	regular	five	regular	three	regular	one	regular	four	regular	five
ironic	22_11_R1LGQM8HN3DSJ8	1	sarcastic	one	sarcastic	one	sarcastic	one	sarcastic	one	sarcastic	one
regular	46_14_RMROSIBS34R2K	5	regular	five	both	four	regular	five	ironic	three	regular	five
ironic	32_20_R2HLECDHOH8OLG	5	ironic	five	regular	five	sarcastic	four	sarcastic	five	ironic	five
regular	22_2_R1J2J9FBOULFV4	5	regular	five	regular	five	both	four	regular	five	regular	five
regular	18_15_RXNRP8GKPYFP7	5	regular	four	regular	three	regular	three	regular	three	regular	four
regular	17_6_R3378SCLJAR1XA	5	regular	five	regular	five	regular	five	sarcastic	three	regular	five
regular	8_10_R2W6XUU6R8CGIS	5	regular	four	sarcastic	four	regular	three	regular	four	regular	five
regular	38_11_R2FYIPJY0OLF4Q	5	regular	four	regular	five			regular	three	regular	five
ironic	20_5_R3Q1BK35LOZ29N	5	sarcastic	one	sarcastic	one	regular	five	sarcastic	two	sarcastic	one
ironic	12_4_R1G4RO7T1KXOD2	5	ironic	five	sarcastic	four	both	five	both	four	both	three
ironic	1_1_R280644F3NWFFN	5	both	two	ironic	five	regular	four	both	five	sarcastic	two
regular	2_1_R331GRSL9KEG8K	5	regular	five	regular	four	regular	four	regular	three	regular	four
regular	6_18_R335J5N792EBT4	5	both	two	regular	five	regular	four	regular	five	regular	five
regular	44_11_R1WJOMAHU2M6J1	5	regular	four	sarcastic	three	regular	five	regular	four	regular	four
regular	39_18_R33CWJTU0SVQKG	5	regular	five	regular	five	ironic	three	regular	five	regular	five
regular	10_15_RGUHFZ9KHSUDC	5	ironic	five	regular	five	regular	five	regular	five	regular	five
ironic	50_11_R2LBX3RDQVRJSG	1	both	one	sarcastic	one	both	one	ironic	one	both	one
regular	37_11_R1XIECGT5CAKAM	1	regular	one	regular	one	ironic	five	regular	one	regular	one
ironic	1_7_R19YXRYPPILTJ5	1	both	one	regular	one	sarcastic	one	both	one	sarcastic	one
regular	40_18_R2CLFXPSWQJ6D9	5	regular	five	sarcastic	four	regular	five	regular	five	regular	five
regular	26_2_R276TPH13XHJY0	5	regular	five	regular	four	regular	five	both	two	regular	five
regular	50_5_R3UFZDZQUEITCC	1	regular	one	sarcastic	four	regular	one	regular	two	regular	one
ironic	14_10_RWWJ1CEX4Z1C8	1	both	one	regular	four	ironic	four	sarcastic	one	regular	four
regular	16_7_RS5YPVMYIM7JH	4	regular	four	ironic	three	regular	four	regular	four	sarcastic	two
ironic	45_1_R34H10JAG0HI81	1	ironic	three	regular	two	sarcastic	one	both	one	regular	one
regular	34_7_R3UQF52QIXG9CP	5	regular	five	regular	five	regular	three	sarcastic	two	regular	five
regular	45_5_R1K2S1Z76E3M6Z	5	regular	four	regular	five	regular	four	regular	four	regular	five
regular	22_1_R2X17F05SYYGS	5	regular	four	regular	four	regular	four	regular	five	regular	four
regular	2_11_R2K9QKW4WMDL4Y	3	regular	two	regular	two	regular	three	regular	three	regular	two
regular	32_15_R3EFK2BBYUX476	1	sarcastic	one	regular	one	regular	one	regular	one	regular	one
regular	37_5_R3M62HO4M6LXE6	5	regular	three	ironic	five	regular	five	regular	five	regular	five
ironic	2_15_R20KOBSDAOQRF4	1	regular	two	sarcastic	two	both	four	sarcastic	two	regular	three
ironic	26_19_RJTCH57AEFCLH	1	both	one	both	one	regular	three	regular	one	sarcastic	one
ironic	20_1_R7W7TEH4BDYFR	5	ironic	five	regular	three	ironic	five	both	five	both	five
ironic	16_20_RJMTDU2GPCRPQ	1	regular	one	ironic	three	both	five	sarcastic	one	sarcastic	five
regular	276427_6_R38CWCYR0P9HZX	5	sarcastic	three	regular	four	regular	four	regular	four	sarcastic	two
ironic	23_11_R137SGNP3PL2PV	1	both	three	sarcastic	one	sarcastic	two	regular	one	regular	two
regular	39_4_R21LXAYJOKBHNX	5	regular	five	regular	four	regular	three	regular	four	regular	five
regular	29_1_R3ABC7J9GJJEKZ	5	regular	five	regular	five	regular	five	regular	five	regular	five
ironic	44_16_RP4FYWZF3NQY2	1	sarcastic	one	both	one	sarcastic	one	both	one	sarcastic	one
ironic	49_4_R3FE59I3E8QX8W	5	sarcastic	one	both	five	regular	three	both	one	both	two
regular	13_14_R1MSUSOXNVJ3ST	5	regular	three	regular	five	sarcastic	five	regular	four	regular	four
regular	1_16_R2VJTB1Y0JMYX2	5	regular	five	regular	five	regular	five	regular	five	regular	five
ironic	40_11_R1TK8KSJGEBC6B	1	sarcastic	two	sarcastic	two	both	one	sarcastic	two	sarcastic	two
regular	6_11_R1JTSLI61PAO70	3	both	three	regular	four	regular	three	regular	three	regular	three
regular	11_14_R23W7PMMD2THRH	3	regular	three	regular	two	sarcastic	one	regular	three	ironic	two
regular	13_19_RWRILJ6JPYRXZ	5	regular	five	regular	five	regular	four	regular	four	regular	five
ironic	5_7_R2FQU7SZAB5R05	5	regular	five	both	three	both	three	both	four	ironic	five
ironic	276423_11_R2JJD67RWE047O	5	ironic	four	both	three	ironic	four	both	five	ironic	five
regular	32_3_R316HM87O97AA0	5	regular	five	ironic	two	ironic	two	regular	three	regular	three
regular	40_8_R1JVBMSJ98GPS7	5	both	four	regular	five	regular	five	both	three	regular	two
regular	1_3_R33ZA4OFBTBDTS	5	regular	three	regular	five	regular	five	regular	five	regular	five
regular	34_9_R3QCKV6N8B5UZP	5	regular	three	regular	five	ironic	five	regular	five	regular	five
regular	11_6_R1NXOXIDBMUXNY	5	regular	five	regular	five	sarcastic	two	regular	four	regular	five
regular	44_4_R1BI39GWYJG8I5	5	regular	five	regular	five	regular	four	regular	five	regular	five
regular	40_7_R2FC4HJR1DXWVZ	5	regular	four	regular	four	regular	four	regular	four	ironic	four
ironic	44_19_R1EY878UNDA2LB	1	both	one	sarcastic	one	sarcastic	one	regular	three	regular	one
ironic	47_8_R2Q3ZC5KWIH5LC	1	regular	one	ironic	four	ironic	four	both	three	regular	four
ironic	36_16_R1D5KMCO7KVUGQ	5	both	two	sarcastic	four	sarcastic	one	sarcastic	one	sarcastic	three
regular	36_8_R2UOCVG31BV4H3	4	regular	three	regular	three	regular	four	regular	two	regular	three
regular	7_10_R2XE2JMHMTPG3Q	5	regular	five	regular	four	regular	five	regular	five	regular	four
regular	10_18_R1KNPEAYC0VT7T	5	regular	five	regular	three	regular	five	regular	four	regular	four
regular	8_7_R12M11BNM58XVN	3	regular	four	regular	four	regular	three	regular	three	regular	four
regular	37_3_R2K0C56YKPY98E	5	regular	four	regular	five	regular	five	regular	five	ironic	five
regular	10_12_R3CVENCPX9P9WG	5	regular	four	regular	five	regular	five	regular	five	regular	four
ironic	30_17_RKT07YYORZMZE	3	regular	three	sarcastic	four	ironic	one	regular	four	both	five
regular	7_7_R38E25GZJ8X5PQ	5	both	five	regular	five	regular	five	regular	five	regular	five
regular	14_13_R1MF72LYX9HPUU	4	regular	four	regular	four	regular	four	regular	five	regular	four
ironic	28_4_R3U7JCSNGXTU3R	1	both	one	sarcastic	four	sarcastic	one	sarcastic	one	both	one
regular	33_9_R18XUZW5H9QHQX	4	regular	four	regular	five	regular	three	regular	four	regular	four
regular	26_9_R3UEDN9A3ECS2O	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	27_18_R14LZ5EGDPB18J	5	regular	five	regular	four	regular	four	regular	five	regular	four
regular	35_15_R2WMFPY7BEUZ8P	5	regular	five	regular	five	regular	five	regular	four	regular	three
ironic	14_2_R23WDTYSUBOS2F	1	both	two	regular	two	sarcastic	five	both	three	both	two
regular	3_16_RWU8P80AQJZUV	5	regular	five	sarcastic	four	ironic	five	regular	five	regular	five
ironic	25_1_R1OKUK8OV3OTEI	1	both	four	both	one	ironic	four	both	one	sarcastic	one
regular	38_4_R4HE2SNJ7RJPD	5	regular	four	regular	four	regular	four	regular	four	regular	four
regular	51_10_R1TW83T9EUKRU4	5	regular	five	regular	five	regular	five	regular	five	regular	four
regular	21_13_RYTFV168ISC08	5	regular	three	sarcastic	four	regular	four	regular	four	regular	three
ironic	18_3_R1KR0XX13PKBEY	1	both	two	sarcastic	one	regular	one	sarcastic	two	regular	one
regular	25_17_R2W0QCDZUCZPG4	5	regular	five	regular	five	regular	four	regular	two	regular	five
regular	38_12_R3N39B3VBKZ8G9	5	regular	five	regular	five	regular	five	regular	five	ironic	four
regular	13_8_R20V0KLHMC0PQ6	5	regular	three	regular	five	regular	five	ironic	four	regular	four
regular	9_2_R3C76RICS2PW87	4	regular	four	regular	four	regular	three	regular	four	regular	two
regular	20_15_R1EJGVKW1FA968	1	regular	one	regular	one	sarcastic	two	regular	one	regular	one
regular	276427_1_RN9O85V94LQ71	5	regular	four	regular	three	regular	three	regular	three	both	five
regular	43_11_R25Y783G797QFE	5	regular	five	regular	four	regular	four	regular	three	both	four
ironic	30_18_R2PEBP7PF3S4LX	1	regular	one	ironic	two	sarcastic	two	both	one	both	three
regular	20_1_RRVE48GWOWPP4	5	regular	five	regular	three	regular	five	regular	five	sarcastic	two
regular	2_12_R32WDUDHOO15GQ	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	14_8_R404A7I0PK5TX	5	regular	five	regular	four	regular	five	regular	five	regular	five
regular	46_13_R3THOUGGAKFKZA	1	regular	one	regular	three	regular	three	regular	one	regular	one
ironic	19_20_RGDKQ3E506SQL	1	both	one	both	two	sarcastic	one	both	three	both	one
regular	13_12_RI19IGXLMY8IJ	5	regular	five	regular	five	regular	five	ironic	five	regular	four
ironic	2_18_RIAF18ELJO63S	4	both	three	ironic	one	sarcastic	one	sarcastic	two	both	five
regular	23_11_R1CSG18LEBTLHZ	5	regular	five	regular	five	regular	five	regular	five	regular	four
ironic	276425_6_R3OXIL2161A2TT	1	sarcastic	one	regular	one	regular	one	sarcastic	two	sarcastic	one
regular	15_14_R121GB30BXP2DT	5	regular	four	regular	four	regular	four	sarcastic	three	regular	four
regular	30_9_R2RD7OEOFWHWUY	4	regular	four			regular	three	regular	four	regular	three
regular	39_8_R1FLK6CMSKYU83	5	regular	five	regular	five	regular	five	regular	five	regular	five
ironic	9_9_RALG7OFCNFFFP	1	both	three	regular	two	ironic	three	ironic	one	ironic	one
ironic	4_8_R49M9BP0P6Y3U	5	ironic	five	ironic	four	sarcastic	five	ironic	one	regular	five
ironic	7_2_RDV1LIBKTCOPY	1	both	three	sarcastic	one	ironic	one	regular	one	regular	five
ironic	23_14_R2SAZW3KRQ0AB6	1			both	one	both	one	both	one	both	one
regular	23_5_R7HY9BRZ2Z6E4	5	regular	five	both	three	regular	five	ironic	five	regular	five
regular	19_13_R2UB7A8LWN8DDZ	5	both	three	regular	five	regular	five	regular	five	regular	five
